query_id,% Identity,bitscore,% Positives,score
AAA02754.1,88.214,29.055,94.288,63.45
AAA03013.2,82.8568,29.505,98.929,64.6
AAA03339.1,83.5711,29.385,97.501,64.3
AAA10830.1,69.286,26.23,87.8555,56.1
AAA16370.1,85.714,30.36,98.929,66.9
AAA16581.1,77.1429,27.76,92.8595,60.15
AAA16763.1,83.9282,29.665,94.6445,65.05
AAA16767.1,80.3568,29.085,92.5025,63.5
AAA16773.1,90.3569,30.68,98.929,67.7
AAA16777.1,89.2855,30.78,97.501,67.95
AAA16912.1,74.643,27.7,92.8595,60.0
AAA16913.1,73.9288,27.895,95.0015,60.5
AAA17421.1,79.5601,27.975,93.931,60.7
AAA18298.1,68.9289,22.215,73.929,45.7
AAA19710.1,76.0714,28.395,87.1395,61.75
AAA19712.1,81.7854,26.45,86.7835,56.7
AAA19717.1,79.2855,28.635,93.9295,62.35
AAA19719.1,75.357,26.05,84.64,55.65
AAA19721.1,78.2142,28.55,97.501,62.15
AAA19723.1,80.3568,28.805,88.212,62.8
AAA19725.1,73.5716,28.095,92.86,61.0
AAA20135.1,91.0712,30.92,99.643,68.3
AAA20219.2,85.3569,28.6,93.573,62.3
AAA20221.2,81.4282,26.8,86.784,57.6
AAA21376.1,87.8569,29.75,97.501,65.3
AAA21378.1,87.4997,30.42,99.286,67.05
AAA21659.1,77.8571,27.42,93.2165,59.3
AAA21661.1,69.6431,25.375,86.068,53.95
AAA21666.1,73.5716,27.735,88.212,60.1
AAA21667.1,78.5713,28.87,95.359,62.95
AAA21668.1,77.5,27.4,93.574,59.25
AAA21670.1,84.2854,29.75,98.572,65.3
AAA21676.1,73.2145,27.005,92.5025,58.15
AAA37773.1,79.2855,28.89,95.359,63.0
AAA37775.1,72.8573,26.945,91.0715,57.95
AAA37899.1,84.9997,29.855,93.931,65.55
AAA37928.1,91.4284,30.92,99.286,68.3
AAA37929.1,81.4282,26.0,87.14,55.55
AAA37930.1,81.4282,29.085,98.572,63.5
AAA37934.1,70.0003,25.79,86.7835,55.0
AAA37935.1,88.5712,30.62,97.144,67.55
AAA37936.1,72.8574,26.705,82.497,57.35
AAA37941.1,76.0713,28.585,87.1395,62.25
AAA37943.1,72.5003,26.965,97.8575,58.05
AAA37945.1,87.8569,30.1,98.929,66.25
AAA37946.1,83.5711,28.305,93.9305,61.55
AAA37948.1,82.1425,29.295,97.144,64.05
AAA37950.1,69.2861,26.635,87.498,57.15
AAA37951.1,76.456,25.435,81.5925,54.1
AAA37952.1,88.5712,30.02,97.144,66.05
AAA37954.1,84.6426,29.735,93.2165,65.25
AAA37955.1,82.4997,29.055,92.8595,63.45
AAA37959.1,87.8569,30.06,97.858,66.15
AAA37972.1,81.4283,29.29,98.929,64.05
AAA37974.1,69.1761,25.8,84.9425,55.05
AAA37976.1,80.412,28.135,98.1875,61.1
AAA37996.1,87.802,30.5,96.787,67.25
AAA38004.1,84.6425,29.115,89.642,63.6
AAA38005.1,84.9997,26.515,85.0045,56.8
AAA38006.1,75.0,25.58,78.57,54.45
AAA38008.1,85.714,29.505,92.8585,64.6
AAA38011.1,79.9996,27.48,85.71,59.45
AAA38012.1,84.725,28.44,89.45,61.85
AAA38014.1,76.923,24.315,76.92,51.05
AAA38015.1,79.6152,25.88,84.62,55.2
AAA38021.1,90.8335,26.915,95.835,57.9
AAA38042.1,70.1387,22.42,79.282,46.3
AAA38045.1,79.9999,28.63,91.787,62.35
AAA38066.1,82.4996,28.67,92.8595,62.45
AAA38069.1,75.3572,28.175,95.002,61.2
AAA38070.1,76.7856,26.565,82.497,57.0
AAA38075.1,61.4288,24.845,80.3555,52.5
AAA38080.1,91.0712,30.66,98.215,67.65
AAA38082.1,68.9289,27.05,88.9275,58.25
AAA38083.1,63.9288,26.34,85.3545,56.4
AAA38084.1,57.143,21.745,68.217,44.45
AAA38086.1,49.6428,20.81,68.217,42.05
AAA38090.1,61.7859,25.745,86.0685,54.9
AAA38094.1,60.0002,25.405,80.356,54.05
AAA38103.1,89.9998,30.34,97.858,66.85
AAA38104.1,61.6485,24.575,78.4875,51.8
AAA38105.1,69.286,27.185,94.2875,58.65
AAA38106.1,73.9288,28.41,95.716,61.8
AAA38107.1,76.4286,28.645,95.359,62.4
AAA38108.1,75.7143,28.08,86.782,60.95
AAA38111.1,76.4835,26.165,93.9845,55.95
AAA38112.1,83.6362,22.895,90.91,47.5
AAA38138.1,74.6429,24.955,87.1405,52.8
AAA38142.1,74.2034,26.225,90.3295,56.1
AAA38153.1,89.2855,30.86,99.286,68.15
AAA38159.1,87.1426,30.5,98.215,67.25
AAA38165.1,83.5711,27.42,85.71,59.3
AAA38172.1,81.4282,28.51,91.0725,62.05
AAA38191.1,89.6152,30.475,94.2875,67.2
AAA38193.1,70.0002,25.76,85.7105,54.95
AAA38199.1,77.857,27.68,91.7875,59.95
AAA38201.1,82.1425,28.5,92.86,62.0
AAA38205.1,75.3571,27.94,91.4295,60.6
AAA38207.1,68.2146,23.815,78.57,49.8
AAA38224.1,82.8018,27.4,88.9,59.25
