query_id,% Identity,bitscore,% Positives,score
AAA02587.1,77.3165,190.0,89.0495,482.5
AAA02589.1,78.084,195.25,88.0725,496.1
AAA02591.1,78.6133,199.8,90.143,507.8
AAA02595.1,80.4193,201.5,89.782,512.45
AAA02596.1,79.6174,199.05,88.8655,505.95
AAA02598.1,80.5626,203.85,90.979,518.5
AAA02599.1,81.6696,203.95,90.3825,518.9
AAA02606.2,81.0097,191.25,86.985,485.95
AAA02608.1,74.1778,182.2,84.336,462.4
AAA02609.1,72.5536,177.85,85.095,450.9
AAA02613.3,70.717,174.25,82.1105,441.9
AAA02614.2,83.0505,198.3,89.1125,504.3
AAA02616.1,79.9736,194.1,86.1445,493.15
AAA02618.1,79.2413,185.7,86.4405,471.15
AAA02619.1,79.4228,187.45,86.7755,475.7
AAA02914.1,78.3692,198.4,85.732,504.55
AAA03467.1,90.2699,227.3,93.709,579.25
AAA03666.2,86.1102,211.0,88.2365,537.2
AAA03667.1,80.6287,198.85,87.3205,505.7
AAA03670.1,79.8203,196.6,86.4195,499.7
AAA03671.1,79.7089,197.8,86.256,502.8
AAA03672.1,79.9172,198.15,87.3205,503.3
AAA03674.2,89.7286,222.85,91.6205,568.1
AAA12415.1,79.1708,199.55,84.088,507.65
AAA16821.1,80.2867,201.55,84.3775,512.7
AAA16822.1,79.4944,193.5,85.5285,491.75
AAA16823.1,90.2454,219.05,92.632,557.95
AAA16938.1,88.0888,214.9,91.94,546.7
AAA16939.1,86.749,208.5,90.675,530.9
AAA16940.1,87.0661,216.0,91.475,549.9
AAA16941.1,87.4429,215.3,91.98,548.25
AAA16942.1,88.2775,216.7,92.8255,551.65
AAA16943.1,89.2157,219.45,93.327,559.05
AAA17848.1,87.6499,215.7,91.0605,549.35
AAA17849.1,73.826,187.55,84.6215,476.25
AAA17850.1,88.8225,221.45,89.8985,564.25
AAA17851.1,92.1893,197.05,93.2375,500.85
AAA17852.1,83.8846,199.5,89.2255,507.1
AAA17900.1,89.4142,210.55,92.055,536.0
AAA17901.1,88.2206,219.7,91.292,559.5
AAA17902.1,89.9005,220.15,92.942,560.65
AAA17903.1,70.7558,182.5,79.4285,462.6
AAA17904.1,92.0774,215.3,94.023,548.1
AAA17905.1,92.9991,215.05,93.94,547.85
AAA17906.1,88.7174,214.1,91.2575,545.3
AAA17907.1,89.5889,216.6,91.493,551.7
AAA17908.1,88.585,201.35,91.055,512.3
AAA17909.1,91.4983,219.0,93.1835,557.45
AAA17910.1,91.0901,214.2,91.8845,545.25
AAA17911.1,91.975,213.7,92.9485,544.25
AAA17912.1,89.5618,195.9,92.2175,497.75
AAA17913.1,86.9311,215.15,89.3155,547.85
AAA17914.1,91.5461,214.7,92.772,546.7
AAA17915.1,91.6214,201.8,93.192,513.25
AAA17916.1,83.1166,195.35,86.921,496.5
AAA17918.1,92.0421,225.6,93.1485,574.9
AAA17919.1,86.7001,207.95,90.1205,529.25
AAA17920.1,85.7926,195.4,90.987,496.8
AAA17921.1,88.6505,216.8,89.975,552.25
AAA17922.1,88.8143,215.85,91.428,549.5
AAA17924.1,77.1627,186.55,83.8505,473.25
AAA17926.1,79.0664,201.7,87.1165,513.05
AAA17927.1,85.9589,212.95,92.2315,542.0
AAA17929.1,81.9709,191.7,87.4675,486.75
AAA17930.1,83.6575,204.35,86.361,520.3
AAA17931.1,77.8791,198.5,85.7445,504.6
AAA17932.1,74.2467,181.95,81.833,461.35
AAA17933.1,81.747,202.35,88.452,514.85
AAA17934.1,78.633,197.2,84.7355,501.25
AAA17935.1,73.3844,191.45,85.608,486.5
AAA17936.1,75.8029,187.75,86.255,476.5
AAA17937.1,88.9422,216.2,92.2275,550.55
AAA17938.1,76.1619,189.0,82.6445,480.0
AAA17940.1,77.927,187.05,83.4045,474.8
AAA17943.1,79.6287,196.25,86.6815,498.75
AAA17944.1,81.7873,191.3,86.636,486.0
AAA17945.1,75.7381,181.45,80.7545,460.2
AAA17946.1,83.0372,201.7,88.13,513.0
AAA17947.1,87.6609,215.5,92.078,548.85
AAA17948.1,86.6777,220.3,90.2585,561.3
AAA17949.1,91.0771,221.55,93.1865,564.3
AAA17950.1,86.737,205.0,90.9475,521.35
AAA17951.1,89.6648,220.55,91.4285,562.0
AAA17952.1,92.3531,213.55,94.2265,543.65
AAA17953.1,90.3858,227.7,92.05,580.7
AAA17954.1,84.1765,185.95,88.1205,472.15
AAA17955.1,87.9467,208.1,90.544,529.45
AAA17956.1,83.4338,209.75,88.6235,534.0
AAA17957.1,82.4891,208.05,87.3735,529.25
AAA17958.1,88.0712,222.2,90.0215,565.9
AAA17959.1,85.3182,216.35,87.704,550.9
AAA17960.1,84.1882,215.15,87.092,547.7
AAA17961.1,91.3462,227.05,93.0115,578.7
AAA17962.1,89.4312,217.65,91.7475,554.35
AAA17963.1,88.4009,213.7,90.5185,544.15
AAA17964.1,88.3892,215.6,90.509,549.3
AAA17966.1,86.8391,218.0,89.1465,555.05
AAA17967.1,89.3789,219.65,91.9215,559.55
AAA17968.1,88.1914,214.8,90.703,546.5
AAA17969.1,90.6535,204.15,91.948,519.5
AAA17970.1,88.1169,216.2,91.861,550.55
AAA17971.1,90.7725,219.55,92.6755,559.2
AAA17972.1,86.4238,215.2,88.1615,547.8
AAA17973.1,90.643,224.15,92.386,571.05
AAA17974.1,83.3344,197.65,89.139,502.5
AAA17975.1,82.2889,204.1,90.575,519.05
AAA18262.1,81.9402,200.2,89.2185,509.05
AAA18263.1,91.0802,207.15,93.2905,527.15
AAA18264.1,82.1795,202.7,88.156,515.6
AAA18265.1,86.1554,209.25,89.6125,532.55
AAA18266.1,79.1162,194.4,89.543,494.25
AAA18267.1,81.3741,199.9,88.229,508.45
AAA18268.1,90.2934,208.9,92.3445,531.7
AAA18269.1,90.441,200.75,93.2155,510.25
AAA18270.1,88.5591,212.15,90.7965,540.1
AAA18272.1,89.2095,213.5,90.601,543.4
AAA18273.1,80.1432,193.0,86.501,490.25
AAA18274.1,91.3001,224.65,92.771,572.55
AAA18275.1,88.0845,207.15,90.693,527.15
AAA18277.1,90.7244,205.65,93.0605,523.4
AAA18278.1,81.2906,206.3,90.1125,524.9
AAA18279.1,91.2827,219.8,93.119,559.9
AAA18280.1,90.8535,219.0,92.57,557.6
AAA18485.1,73.8656,184.8,81.245,469.05
AAA18807.1,77.3702,187.85,84.566,476.95
AAA18808.1,85.9295,204.65,90.45,520.7
AAA18809.1,83.22,193.05,90.6685,490.65
AAA18810.1,79.0441,186.8,88.9475,474.3
AAA18811.1,83.6131,209.65,89.5185,533.6
AAA18812.1,86.7092,206.8,92.426,526.45
AAA18813.1,84.5846,197.95,90.0255,503.2
AAA18814.1,84.1249,206.45,90.3605,524.85
AAA18815.1,88.3308,212.8,92.8595,541.75
AAA18817.1,82.8826,196.95,88.3715,500.75
AAA18818.1,87.0436,208.55,92.1525,530.7
AAA18819.1,87.9188,209.9,92.234,534.3
AAA18886.1,80.1629,204.55,91.1145,520.35
AAA18890.1,87.7004,221.75,88.9475,564.7
AAA19488.1,91.1032,215.85,92.3905,549.85
AAA19489.1,85.2843,216.1,88.865,550.35
AAA19490.1,87.7136,205.95,91.069,523.95
AAA19878.1,80.1269,197.55,86.09,502.35
AAA19881.1,73.8153,182.0,82.4945,461.7
AAA20099.1,73.9152,177.75,85.7375,450.9
AAA20100.1,75.755,180.2,86.2825,456.95
AAA20101.1,72.7299,180.2,82.8285,456.95
AAA20138.1,87.9299,209.1,91.6265,532.1
AAA20140.1,89.8991,200.25,92.236,509.25
AAA20150.1,87.7862,212.2,90.458,540.1
AAA20169.1,88.8357,214.15,90.501,545.25
AAA20170.1,80.9716,189.2,89.257,480.6
AAA20171.1,84.7204,201.45,89.2855,512.1
AAA20172.1,87.3697,211.35,91.299,537.85
AAA20173.1,85.3689,214.7,90.885,546.6
AAA20174.1,82.7671,196.5,89.036,499.2
AAA20175.1,81.3588,187.05,87.006,475.05
