query_id,% Identity,bitscore,% Positives,score
AAA02587.1,83.61,148.9,96.0,375.95
AAA02589.1,82.53,152.2,93.09,384.35
AAA02591.1,84.22,157.9,95.34,398.95
AAA02595.1,85.98,159.75,96.21,404.2
AAA02596.1,84.93,157.6,94.77,398.35
AAA02598.1,86.53,161.95,96.31,409.55
AAA02599.1,87.18,160.95,96.78,407.0
AAA02606.2,91.63,163.85,96.65,415.0
AAA02608.1,86.9,163.4,95.4,413.45
AAA02609.1,87.77,157.35,95.42,397.95
AAA02613.3,83.85,150.05,92.13,379.15
AAA02614.2,91.28,157.9,95.33,399.35
AAA02616.1,88.08,156.7,93.77,396.55
AAA02618.1,90.42,158.15,96.53,399.8
AAA02619.1,89.73,157.7,95.49,398.75
AAA02914.1,90.0,164.1,95.91,414.95
AAA03467.1,96.99,176.35,98.69,446.8
AAA03666.2,97.61,173.0,98.24,438.25
AAA03667.1,87.84,160.8,93.07,407.1
AAA03670.1,86.76,158.55,91.99,400.8
AAA03671.1,86.76,159.4,91.93,403.15
AAA03672.1,87.1,159.9,93.13,404.6
AAA03674.2,98.75,179.0,99.94,453.6
AAA12415.1,93.81,171.15,96.53,433.2
AAA16821.1,91.4,163.05,93.28,412.65
AAA16822.1,92.33,168.1,95.11,425.75
AAA16823.1,97.56,176.5,99.66,447.7
AAA16938.1,92.56,166.95,95.57,422.3
AAA16939.1,91.87,166.4,95.56,421.15
AAA16940.1,91.53,167.0,95.34,422.95
AAA16941.1,92.61,167.95,96.65,425.25
AAA16942.1,94.2,173.05,98.75,438.7
AAA16943.1,93.24,167.65,96.48,424.65
AAA17848.1,96.82,175.8,98.69,445.65
AAA17849.1,81.24,153.0,92.44,386.75
AAA17850.1,97.1,175.95,97.67,445.9
AAA17851.1,97.67,173.55,98.46,440.05
AAA17852.1,93.43,161.8,95.0,409.65
AAA17900.1,96.88,172.55,98.97,437.2
AAA17901.1,97.61,176.5,98.86,447.25
AAA17902.1,95.28,172.95,98.41,438.6
AAA17903.1,83.52,153.6,89.89,387.95
AAA17904.1,97.67,177.5,99.43,450.15
AAA17905.1,98.01,177.2,99.03,449.35
AAA17906.1,96.87,172.05,97.78,435.8
AAA17907.1,98.41,176.75,99.94,448.4
AAA17908.1,97.21,173.35,98.41,439.65
AAA17909.1,98.47,178.5,99.89,452.8
AAA17910.1,97.67,176.1,98.69,445.7
AAA17911.1,98.3,178.45,99.89,452.85
AAA17912.1,96.82,172.7,97.67,437.75
AAA17913.1,98.41,177.9,99.66,451.45
AAA17914.1,98.84,173.8,99.77,440.25
AAA17915.1,98.01,175.85,99.6,445.5
AAA17916.1,93.75,154.4,94.77,390.0
AAA17918.1,98.69,178.45,99.49,452.5
AAA17919.1,94.02,168.75,96.03,427.5
AAA17920.1,96.88,176.65,99.71,447.75
AAA17921.1,98.81,178.9,99.94,453.5
AAA17922.1,96.87,176.15,98.86,446.05
AAA17924.1,83.67,152.1,90.22,384.05
AAA17926.1,90.0,166.7,96.3,421.55
AAA17927.1,95.11,173.15,98.69,439.0
AAA17929.1,91.99,166.7,94.94,421.85
AAA17930.1,95.22,171.35,97.78,434.05
AAA17931.1,89.89,166.7,96.42,421.85
AAA17932.1,88.79,158.15,94.13,399.9
AAA17933.1,91.87,170.85,97.5,432.45
AAA17934.1,92.5,152.5,97.16,385.05
AAA17935.1,82.66,157.9,94.09,399.85
AAA17936.1,92.22,168.4,98.63,426.5
AAA17937.1,96.86,170.3,97.96,430.9
AAA17938.1,89.26,164.15,94.32,415.2
AAA17940.1,86.57,158.05,90.49,399.9
AAA17943.1,92.05,166.65,94.49,422.0
AAA17944.1,90.56,163.55,93.92,414.05
AAA17945.1,83.06,150.0,87.21,378.5
AAA17946.1,93.92,171.2,96.64,433.1
AAA17947.1,96.68,171.2,99.71,433.65
AAA17948.1,96.59,175.4,98.46,444.5
AAA17949.1,98.01,178.55,99.83,453.15
AAA17950.1,94.44,169.3,98.49,429.15
AAA17951.1,96.19,175.0,97.96,443.65
AAA17952.1,97.99,175.85,99.25,445.6
AAA17953.1,98.69,178.65,99.66,453.2
AAA17954.1,92.95,153.35,95.0,387.5
AAA17955.1,97.32,174.1,98.23,441.45
AAA17956.1,95.0,171.75,98.12,435.35
AAA17957.1,90.79,164.95,95.11,417.4
AAA17959.1,98.58,176.0,99.54,446.25
AAA17960.1,95.85,172.0,97.67,436.05
AAA17961.1,98.86,178.7,99.54,453.15
AAA17962.1,98.18,174.8,99.03,443.0
AAA17963.1,96.76,170.75,98.07,432.45
AAA17964.1,96.19,172.9,98.46,438.6
AAA17966.1,96.53,173.8,98.52,440.6
AAA17967.1,96.93,175.1,99.03,443.95
AAA17968.1,97.67,171.15,98.69,432.85
AAA17969.1,98.57,167.65,99.29,424.85
AAA17970.1,94.72,170.1,96.87,431.1
