query_id,% Identity,bitscore,% Positives,score
AAA02754.1,89.6471,158.4,92.881,400.85
AAA03013.2,81.0624,150.25,91.1845,379.4
AAA03339.1,77.4181,144.75,89.2505,365.1
AAA10830.1,71.7612,135.45,86.931,341.0
AAA16370.1,76.3254,144.65,87.0235,364.75
AAA16581.1,77.1201,142.7,89.4165,360.1
AAA16583.1,77.4748,143.05,89.309,360.5
AAA16584.1,75.8115,140.0,88.393,352.8
AAA16585.1,75.3133,139.05,87.3175,350.15
AAA16586.1,76.266,140.1,88.165,352.8
AAA16587.1,76.3229,140.55,87.4805,354.25
AAA16765.1,73.6365,142.95,87.6705,359.95
AAA16766.1,75.0569,143.1,89.148,360.7
AAA16767.1,80.1585,149.6,90.732,377.75
AAA16768.1,78.9087,148.85,91.073,375.5
AAA16769.1,75.8247,146.15,91.0715,369.0
AAA16770.1,77.6533,146.4,89.7065,369.45
AAA16772.1,78.8479,148.85,90.732,375.55
AAA16775.1,71.9319,140.25,88.067,353.65
AAA16776.1,73.6933,142.15,89.0915,358.5
AAA16912.1,74.297,138.9,86.689,350.15
AAA16913.1,76.2858,142.95,89.591,360.55
AAA16914.1,77.8793,144.9,89.592,365.65
AAA16915.1,75.1566,142.1,87.8655,358.45
AAA17421.1,71.776,138.3,88.106,348.6
AAA18223.1,77.2528,144.7,90.6735,365.25
AAA18298.1,78.9949,144.15,89.4985,363.5
AAA19710.1,74.4888,144.3,88.921,364.0
AAA19712.1,84.1665,142.75,92.448,359.95
AAA19714.1,73.3743,142.3,88.2015,358.75
AAA19717.1,70.6718,134.4,89.255,338.1
AAA19719.1,84.6414,146.1,93.5635,368.95
AAA19721.1,76.8252,145.15,92.4105,366.0
AAA19723.1,75.3741,139.65,87.2015,351.85
AAA19725.1,73.8808,141.45,88.576,356.65
AAA20135.1,80.6025,145.65,91.2675,367.9
AAA21365.1,75.481,141.1,88.5645,355.45
AAA21368.1,74.1807,141.4,88.96,356.55
AAA21370.1,74.6843,142.75,89.533,360.05
AAA21372.1,78.9437,147.85,89.869,373.4
AAA21374.1,88.5102,166.4,96.358,420.85
AAA21376.1,77.216,147.65,92.4455,372.65
AAA21378.1,80.0574,154.3,94.71,389.8
AAA37321.1,81.2389,150.05,91.4745,378.45
AAA37773.1,80.3754,149.05,90.954,376.65
AAA37775.1,79.2375,147.35,91.01,371.75
AAA37776.1,80.0344,149.7,91.809,377.8
AAA37899.1,80.5113,152.8,91.195,386.25
AAA37901.1,79.9841,145.6,89.0215,367.55
AAA37902.1,78.8466,143.3,87.885,361.45
AAA37927.1,80.6687,150.65,93.2895,380.35
AAA37928.1,81.7616,154.95,92.046,391.95
AAA37929.1,85.4297,158.85,92.999,402.2
AAA37930.1,73.1178,134.85,84.884,339.4
AAA37931.1,83.9206,158.45,94.6,400.6
