query_id,% Identity,bitscore,% Positives,score
23174-2,83.912,151.95,89.8225,383.7
1759879-39,83.6933,151.5,91.651,382.8
3093910-4,80.2723,149.85,90.734,378.75
3227761-2,82.557,147.6,88.297,372.65
913821-3,84.8125,155.05,91.584,391.95
1930494-3,82.8979,154.1,90.682,388.9
1528748-4,83.6842,149.75,89.143,378.0
4316688-3,81.8751,148.5,90.5125,374.5
909438-2,78.3363,140.95,84.1635,355.4
12298-68,80.9712,150.1,89.8565,379.3
3869756-2,79.7504,143.95,85.4965,362.75
2031282-2,84.2529,149.8,88.1775,378.5
1558576-50,85.5115,154.45,89.4885,390.4
2494031-2,83.7331,151.85,89.25,383.55
3783643-4,79.943,148.25,89.545,374.35
1343276-6,81.6479,153.25,92.275,387.65
3466250-2,81.5908,150.0,88.808,379.15
2489739-2,82.5001,147.8,87.899,373.3
752953-2,77.9193,146.2,87.9925,369.0
1581839-107,84.8294,152.8,89.0355,386.25
3034713-2,77.841,140.8,85.399,355.35
3843543-3,74.6866,135.0,81.059,339.8
1841287-43,87.216,161.05,96.077,407.95
45154-2,84.7563,154.4,91.47,390.2
2336375-55,75.8266,139.35,85.4965,351.35
1126463-3,81.3067,145.15,87.5,366.0
426904-2,81.2292,146.2,86.9725,369.4
3565792-2,85.1044,155.4,91.532,392.9
1030107-3,78.0753,141.6,85.7065,357.05
1668288-181,85.7387,156.5,91.309,395.6
2092652-2,84.0817,151.0,89.0865,381.55
1161367-2,82.4902,152.8,90.45,386.1
4094638-2,81.3069,152.0,91.252,384.05
1307902-3,83.8069,151.1,90.625,381.95
2577606-204,84.0654,149.4,88.051,377.25
2021103-38,86.7615,156.9,91.537,396.9
2577963-2,81.5243,146.8,88.0635,370.45
3490324-2,84.659,154.5,91.252,390.45
4290302-4,78.215,134.95,82.879,339.95
262371-2,81.0122,147.9,89.2005,373.4
484641-4,79.2258,142.9,85.1485,360.5
1989252-2,85.5114,160.35,92.2185,405.55
2766460-4,78.4873,143.0,85.546,360.6
2011431-2,81.1259,147.35,87.2085,371.85
432215-2,80.8418,145.8,88.973,368.0
1778085-2,83.0682,150.65,88.752,380.35
3807172-17,83.278,150.1,89.137,379.1
79047-2,82.4445,150.25,90.478,379.5
1478821-3,83.807,148.85,87.215,375.6
3844379-4,80.7165,145.4,87.259,367.35
1407040-2,80.6818,147.4,88.9785,371.6
1658907-2,80.1136,145.3,87.215,366.85
1827715-2,87.6704,160.4,93.978,406.4
2760032-3,81.4348,146.6,86.5065,369.9
