query_id,% Identity,bitscore,% Positives,score
23174-2,70.2938,168.1,77.569,425.65
1759879-39,69.21,168.55,77.602,426.8
3093910-4,66.017,158.5,77.4565,400.4
3227761-2,68.187,161.9,75.067,409.95
913821-3,71.5805,162.7,81.3125,411.6
1930494-3,69.8992,166.7,78.909,421.95
1528748-4,72.1448,156.55,78.3275,396.0
4316688-3,69.2575,171.05,82.3925,433.2
909438-2,62.1246,145.45,71.928,367.2
12298-68,64.832,164.25,74.037,415.65
3869756-2,65.7112,148.3,73.9835,374.5
2031282-2,66.0622,154.7,73.2105,391.35
1558576-50,70.8502,172.35,77.329,436.45
2494031-2,69.0716,168.55,78.3945,427.05
3783643-4,65.4664,160.5,79.6815,406.4
1343276-6,69.0295,172.2,82.2705,436.4
3466250-2,69.3704,164.35,78.049,416.15
2489739-2,69.4462,152.15,75.9505,384.35
752953-2,65.7724,157.95,76.3615,399.25
1581839-107,71.0655,165.05,77.4635,417.75
3034713-2,62.1884,147.95,72.3165,373.6
3843543-3,61.3408,137.65,69.4345,346.8
1841287-43,77.1806,177.1,86.049,449.25
45154-2,70.1777,171.35,78.4425,434.2
2336375-55,64.4649,154.15,75.084,389.15
1126463-3,69.8191,155.75,79.653,394.4
426904-2,67.0565,153.9,74.604,388.9
3565792-2,70.1531,169.35,77.3905,428.25
1030107-3,65.0632,158.25,75.9855,399.7
1668288-181,69.2487,167.15,77.078,423.4
2092652-2,69.971,165.85,78.719,419.95
1161367-2,66.4609,170.2,76.852,430.95
4094638-2,68.7815,170.05,79.336,430.85
1307902-3,68.9197,167.65,79.4395,424.65
2577606-204,72.2448,161.15,77.6955,408.05
2021103-38,69.6653,165.2,75.691,418.4
2577963-2,69.1321,154.85,76.363,391.45
3490324-2,70.7608,174.1,80.229,441.2
4290302-4,62.4764,133.4,70.9995,335.75
262371-2,63.2931,154.35,74.8435,390.15
484641-4,67.9706,154.85,75.677,391.35
1989252-2,69.8526,181.6,78.626,460.75
2766460-4,65.5669,146.4,76.12,369.45
2011431-2,67.0142,150.65,75.7465,380.45
432215-2,65.4403,143.25,75.217,361.45
1778085-2,68.2857,160.85,75.6625,406.9
3807172-17,71.1485,168.55,78.7,426.95
79047-2,67.8153,165.55,77.1855,419.1
1478821-3,69.491,157.55,75.497,398.25
3844379-4,69.5681,154.1,77.522,389.3
1407040-2,69.48,169.8,79.4815,430.1
1658907-2,66.0794,155.4,77.0035,393.15
1827715-2,76.4978,179.15,84.602,454.3
2760032-3,67.6174,153.05,75.8555,386.6
2321383-2,64.8952,157.75,72.5595,399.0
2132908-2,61.5181,143.2,71.8355,361.0
1872698-4,74.2211,176.6,79.4685,447.85
1130919-6,69.1048,169.35,79.5125,428.95
3752351-2,63.0181,134.55,71.0595,338.35
2542983-2,70.1532,161.85,77.902,409.85
760907-2,67.631,159.95,76.349,404.65
1460746-2,69.4437,158.8,77.518,401.4
1011336-2,64.595,155.05,76.384,392.25
1727082-90,66.6145,158.8,74.9815,401.55
138518-2,69.4492,161.2,80.34,408.35
63743-2,62.9417,133.6,70.1745,336.15
1575325-2,65.7028,147.85,74.4725,373.25
2266017-2,64.1665,147.85,71.7435,373.4
1579108-2,71.5692,165.5,78.9125,418.65
676108-3,70.2394,167.8,77.0235,425.0
2048192-2,70.7727,154.6,76.5025,390.6
3844027-23,67.6402,166.65,77.904,421.55
3393463-65,70.3082,164.7,79.484,416.55
2429027-443,66.0458,149.0,72.271,375.85
2707049-2,68.9877,157.3,75.83,397.8
2784302-34,67.2103,161.15,75.8245,408.1
3235321-2,63.7356,156.15,74.9315,395.1
3521500-3,68.9713,157.75,77.5165,398.9
922243-68,69.8595,165.75,80.5665,419.45
3019025-4,64.3149,148.7,69.119,375.45
3143173-2,68.0518,167.15,77.077,422.75
3243304-2,68.9514,165.5,76.9775,418.85
2413177-3,62.2043,142.55,71.5895,359.4
1688165-2,63.9277,148.5,75.5375,374.85
689001-2,73.977,180.05,83.054,456.5
2454681-2,69.8807,166.1,77.1805,420.2
3107949-3,68.074,161.0,77.603,407.5
3970200-2,69.4356,166.95,77.358,422.75
2457797-2,66.3917,152.2,74.9055,384.4
3464249-2,76.7989,184.75,83.77,468.9
4282411-2,67.2962,154.8,75.1465,391.1
2957390-2,61.8079,152.2,71.9325,384.4
2006411-2,76.9816,189.7,81.6965,482.1
2433672-2,65.4166,154.6,76.542,390.8
1827588-2,75.6829,175.65,83.9585,445.2
3815949-3,69.3485,169.5,79.7975,429.5
1967843-2,71.0606,167.3,78.0605,423.5
2543999-77,68.9537,162.25,76.84,410.7
3613011-9,69.0653,155.95,78.4905,394.35
4066620-3,70.7552,164.45,79.209,415.85
642073-75,64.7027,159.15,74.388,402.25
2517746-3,66.2285,155.85,77.912,393.85
40243-2,66.1139,153.8,74.4155,388.6
3078926-2,64.4951,149.35,74.3515,377.35
1492633-2,70.2811,158.85,76.6695,401.8
416337-2,66.7852,155.4,76.0865,392.75
1326375-3,71.0773,173.85,80.4895,440.55
852280-75,62.4442,157.0,76.67,397.35
2665881-2,63.1906,144.85,72.663,365.35
1144252-4,63.7081,155.8,74.8135,394.0
1828677-4,74.5279,172.55,79.2845,437.4
2216286-2,71.2735,168.6,79.324,427.05
664375-21,75.4324,175.45,80.3525,445.05
1239518-3,70.1264,157.6,76.6085,398.55
4155601-5,67.9615,157.2,77.984,397.55
3785040-2,67.1962,154.85,75.99,391.15
2521596-2,69.998,167.55,76.194,424.15
2009947-2,64.846,151.5,70.7535,382.9
70856-15,66.1164,162.65,76.5505,411.65
1801568-2,74.3472,173.95,80.172,440.7
2989102-3,64.7176,161.3,73.024,408.5
958354-4,64.2585,150.45,76.7125,380.45
1972015-6,66.547,162.25,75.8865,410.8
408808-2,67.3697,150.1,76.486,379.3
2585621-6,69.7091,160.65,78.699,406.3
1493810-3,67.9241,156.85,76.29,396.4
3990672-3,77.5387,184.6,86.151,468.4
2670288-51,67.6921,164.15,77.345,415.15
1933265-3,69.6102,171.3,79.5535,433.9
3732173-4,68.5109,158.75,77.715,401.6
600829-3,65.7601,152.7,75.527,385.95
4010826-16,71.0224,171.4,78.944,434.4
92119-2,59.5001,142.5,74.168,359.35
2372419-2,67.3813,165.3,77.554,418.05
2798633-2,71.3092,173.45,79.548,439.75
1087489-3,66.7978,161.2,76.1235,408.2
2270498-3,59.5957,145.65,73.7335,367.25
4127865-2,66.0368,157.85,74.283,399.2
697419-5,77.8996,182.8,83.4905,463.8
1484155-2,69.7991,157.85,75.6295,399.2
2179428-2,63.4922,154.5,75.754,390.4
3140514-2,69.7804,167.4,78.794,423.95
1362842-2,67.7561,154.15,74.4535,389.6
4366245-22,68.4672,165.25,79.222,418.15
2692885-2,62.5063,148.35,73.202,374.45
669437-6,73.6866,174.9,78.692,443.45
1936552-13,66.4577,171.2,72.933,433.65
2039387-3,60.9148,148.55,69.8165,375.5
4366265-2,68.6218,160.2,78.329,405.5
2578077-2,70.3336,160.7,76.43,406.4
2463970-3,70.4693,159.1,77.8765,402.5
2164286-2,72.1072,166.25,78.243,420.95
3654650-5,69.8432,156.8,78.423,396.6
3479215-40,68.2459,168.95,77.243,427.85
347591-2,70.5603,165.7,78.893,419.55
4288752-5,67.0604,154.85,77.037,391.65
4226993-3,65.052,158.5,77.547,401.3
2098970-4,60.6263,151.15,74.3205,382.35
1560704-2,67.2365,164.05,76.4385,415.3
830785-6,62.9976,148.55,70.676,375.05
4003632-2,65.7755,154.55,74.076,390.75
3349561-2,64.6691,146.35,73.742,369.15
1113451-224,68.8592,164.05,79.3465,415.0
40797-2,61.5848,143.95,75.0105,363.25
2641519-259,66.0419,148.4,78.138,374.85
2631878-2,68.8652,162.7,75.1755,411.75
1536975-3,70.5706,160.65,77.498,406.9
2840388-5,63.4087,152.2,73.017,384.5
1859910-3,70.9718,174.75,80.0235,442.85
3413663-2,63.681,146.1,74.535,368.8
2498140-2,71.675,171.3,79.8545,434.0
2716401-4,63.583,149.15,73.963,376.6
788156-3,77.0653,187.0,83.204,474.55
1844542-2,70.327,171.95,80.6515,436.0
3373364-2,65.7174,156.95,74.2085,396.7
2054004-2,80.0539,188.55,87.345,479.15
3003591-5,62.9293,147.85,69.871,373.35
3269324-7,61.3573,148.9,74.254,375.65
3600337-3,66.6266,157.4,79.419,397.85
2514729-2,72.1421,171.25,81.4045,433.65
2467288-8,70.1805,155.85,75.9145,393.95
4007207-2,67.3006,168.85,77.673,427.55
1377809-2,72.218,176.35,82.097,447.05
920321-2,62.0397,146.3,72.404,369.1
369330-3,70.5904,158.8,78.408,401.6
2479252-162,68.0656,152.7,78.4625,385.95
188505-2,58.9106,140.4,72.9785,353.8
1160735-59,62.0787,144.7,71.216,364.95
3240830-3,66.8243,158.2,73.2005,400.0
3101662-36,70.5907,164.35,79.297,415.85
1447160-3,65.9406,147.55,73.303,372.4
1097733-3,62.889,148.05,69.7095,373.8
3093313-7,63.1849,153.25,72.7745,387.6
2446085-2,69.5393,163.3,77.9125,413.35
1366762-2,66.4583,159.75,75.3905,404.05
2760026-4,68.0531,156.45,76.512,395.55
4340551-3,66.8731,152.3,75.9815,384.5
763451-2,75.1206,175.05,83.7125,444.05
3971810-2,65.3108,158.05,73.1775,399.95
1305945-70,66.7046,162.0,73.525,410.0
1689467-2,67.0148,155.65,76.674,393.75
1890742-8,70.7661,162.7,79.361,411.75
2595490-347,69.4514,160.95,78.526,407.4
1271507-2,69.9779,157.1,78.464,397.1
566550-2,66.0225,150.8,73.7915,380.85
1349762-2,65.4836,150.55,76.2675,380.35
1464658-3,70.9109,163.15,77.151,412.65
2508257-2,74.4577,179.7,83.8765,455.5
3210340-68,64.8377,158.35,73.2105,400.6
3667946-67,69.5932,156.2,77.8605,395.05
4024770-43,75.8551,180.0,82.3565,456.55
4133562-4,64.2551,155.05,71.6675,392.2
3570932-2,75.7049,173.2,81.678,439.1
1892864-2,66.1192,161.25,72.4005,408.0
1402955-1488,70.7334,170.0,76.9285,430.4
455553-2,62.8516,151.6,74.3395,383.1
124858-3,62.387,136.9,71.393,344.4
998724-2,66.344,164.7,78.156,416.65
597019-2,65.3872,151.45,71.697,382.45
3423348-4,66.7861,155.25,72.885,392.65
2260460-2,63.7413,135.4,71.717,340.7
2783227-56,64.3222,161.55,76.9905,408.75
3539109-2,66.6882,161.4,76.0425,408.65
1711646-2,65.9023,144.7,73.5475,364.75
1202159-2,70.9746,167.3,77.9285,423.75
3880821-3,63.9045,146.35,71.7965,369.55
4329382-2,67.7411,149.7,73.162,378.0
94545-3,70.8547,172.15,80.4465,436.1
2566095-2,67.5259,151.75,76.4045,383.45
4275031-2,67.0609,166.4,78.122,421.15
1507856-2,67.3284,154.0,74.0235,389.05
192387-2,66.2019,153.8,72.6255,388.45
4114140-12,64.9114,154.4,74.7615,390.15
3220437-10,66.2036,145.45,75.3305,367.15
2935075-2,67.4002,163.6,77.7005,414.0
23958-5,64.6638,164.2,76.264,415.7
28433-2,63.8224,142.0,72.456,358.0
2086260-2,69.4695,158.05,78.572,399.5
1852062-100,71.2192,172.4,77.2865,437.05
3450484-7,69.79,169.3,83.646,428.9
2854734-2,66.7616,162.25,74.6665,410.5
1788286-297,67.0789,165.95,77.696,419.7
1337507-3,67.7075,169.65,78.5935,429.7
3170991-3,66.9484,162.9,75.4935,412.2
4370492-2,65.8224,158.9,76.572,401.75
633295-7,65.9434,158.2,76.572,400.25
2870833-2,74.7757,179.9,82.234,456.35
2621605-15,69.6773,164.45,76.6865,416.15
2208641-2,66.548,162.0,74.4345,409.85
