query_id,% Identity,bitscore,% Positives,score
23174-2,89.5,21.435,96.5,43.6
1759879-39,87.0,21.155,95.0,42.9
3227761-2,87.0001,18.61,97.3335,36.3
1930494-3,88.0,19.085,93.889,37.55
3783643-4,79.5,19.92,96.0,39.8
1030107-3,83.0,19.96,87.5,39.9
1307902-3,85.0,20.9,95.0,42.25
2021103-38,89.4444,21.58,94.5,44.0
1778085-2,89.2778,18.47,95.8335,35.95
1407040-2,83.8889,19.12,89.4445,37.65
1827715-2,86.3611,17.61,89.667,33.8
2760032-3,82.9444,18.805,88.5,36.8
2132908-2,79.0,18.615,82.5,36.35
760907-2,88.0,21.47,92.5,43.75
63743-2,84.0,20.055,89.5,40.15
2429027-443,88.4444,20.455,92.5,41.15
1828677-4,87.5001,18.72,91.334,36.6
1936552-13,87.7778,18.8,95.778,36.8
3000433-53,87.625,17.095,91.056,32.5
4003665-2,87.7778,18.745,93.6115,36.65
2925147-2,82.5,20.235,89.5,40.6
795815-4,85.9444,20.695,92.5,41.75
4018679-7,88.1667,18.55,95.778,36.15
4328325-2,87.7779,18.5,91.6675,36.05
3549665-2,88.5,21.48,93.0,43.75
2446044-3,80.5,18.725,86.5,36.6
195647-2,88.8195,18.545,94.445,36.15
3062394-110,89.1667,18.645,95.778,36.4
3160623-2,82.0,19.7,86.5,39.25
313711-2,82.4444,19.545,86.9445,38.8
2990131-105,89.2778,16.88,95.9585,31.95
3201896-2,81.0,19.6,96.0,39.0
1741868-48,81.8889,18.825,89.5,36.85
2061097-3,79.8889,18.625,85.889,36.35
3321318-2,88.0556,18.59,96.278,36.25
3499060-2,76.3056,16.55,79.917,31.0
2879425-2,87.6112,17.65,89.7785,33.9
1675519-2,75.5,18.165,88.0,35.2
714932-2,88.0,16.92,96.125,32.05
2957294-99,89.1031,15.735,93.9445,28.85
2178231-30,89.0833,17.0,93.4585,32.25
1985177-10,92.1606,15.66,97.875,28.65
260613-3,87.0556,18.59,95.278,36.25
11977-2,83.5,20.315,91.5,40.8
1842270-2,89.375,16.73,97.5,31.5
3172864-2,79.9445,19.49,86.4445,38.7
2129728-2,83.0,19.655,88.5,39.1
708829-2,85.5973,18.155,95.6115,35.15
2493698-4,79.1665,14.505,89.1645,25.7
695110-2,89.0973,16.975,93.8895,32.2
3164801-4,86.4444,20.195,90.9445,40.5
685666-38,81.5,19.27,87.0,38.05
1988084-3,84.3334,17.8,93.056,34.25
236526-40,84.0,20.16,90.5,40.4
2465525-6,85.6112,17.635,89.167,33.85
1226941-3,88.9445,18.665,96.7225,36.45
2883061-2,88.4028,16.78,92.7085,31.6
3652040-2,84.4028,16.435,92.9445,30.7
1776973-2,81.5,19.455,87.0,38.6
3867895-3,87.7779,18.365,91.6675,35.7
216473-2,78.8889,18.445,87.4445,35.9
2040963-2,79.3334,20.04,94.5,40.1
2855659-2,75.0,18.47,88.0,36.0
2013550-24,88.0001,18.645,95.7225,36.4
852661-10,89.4999,15.735,95.0,28.85
4129435-5,79.0,19.375,82.5,38.35
3969025-45,89.2084,17.075,93.445,32.45
4326601-13,78.5,19.62,82.5,39.0
4021770-5,90.0556,18.47,95.6115,35.95
3113556-2,80.3334,18.755,84.889,36.7
4321801-17,88.2778,19.045,91.5005,37.45
1646485-2,86.0418,18.135,95.556,35.1
1226904-4,78.4358,15.2526,81.3611,27.6316
4113143-24,92.2223,20.28,98.889,40.7
1360087-3,76.4168,15.465,81.0845,28.2
3955506-2,74.3889,18.58,89.9445,36.25
1008658-34,84.3056,17.02,91.028,32.3
2679512-2,76.8889,17.68,82.389,33.95
675892-3,91.3889,20.22,98.0,40.55
4262528-4,87.9306,18.715,94.5005,36.6
3805273-6,88.9306,18.475,94.556,35.95
3154305-2,88.264,18.525,94.445,36.1
3929531-2,84.5,20.515,91.5,41.3
1829491-2,80.4445,19.76,86.4445,39.4
3015859-268,84.5,19.96,90.5,39.9
696327-2,79.8889,19.135,83.9445,37.7
2057220-2,82.5,19.07,87.5,37.5
4129450-7,80.4445,19.49,83.4445,38.65
1027935-23,85.318,17.655,88.0465,33.9
3526371-2,89.9702,15.795,96.667,29.0
681184-2,86.9682,15.83,90.167,29.1
3946812-152,84.6667,16.98,91.889,32.2
173155-2,78.9445,18.295,87.0,35.5
3272923-2,72.5,18.025,86.5,34.85
4010952-34,86.4445,18.49,92.167,36.0
4326610-11,79.0,18.86,83.0,37.0
3222371-5,89.5834,16.51,96.3195,30.9
4022666-7,85.0,19.88,92.0,39.7
2546602-2,77.6946,15.64,81.362,28.65
4113670-2,79.3333,19.7,94.5,39.25
1391829-5,88.264,18.55,94.445,36.15
3467069-4,87.1251,17.24,92.556,32.85
3054312-2,66.3889,16.8,78.389,31.7
1018619-11,84.9445,20.075,92.5,40.2
179473-48,84.0,19.525,90.0,38.75
1976327-9,79.0,18.59,82.5,36.3
3844010-2,79.3334,18.78,84.889,36.75
2867343-20,88.0,17.215,91.556,32.8
2278093-3,88.264,18.64,94.445,36.4
3776854-2,79.8334,18.83,85.889,36.9
680176-11,59.0476,15.5357,71.1907,28.3571
1529334-2,83.7223,18.45,91.667,35.9
1026097-19,78.0,19.915,92.5,39.8
687385-7,85.2361,17.415,91.167,33.3
1811306-2,89.2639,17.29,93.5005,33.0
195397-3,88.3751,18.62,94.5005,36.35
3971396-2,86.3334,17.96,94.556,34.65
374094-2,75.5,18.04,85.5,34.85
3774681-2,84.0417,16.8,88.403,31.65
1492702-3,84.7778,16.31,88.639,30.35
2436987-2,88.889,18.445,91.6675,35.9
652821-2,86.8612,17.22,92.667,32.8
2052797-2,85.2223,18.21,95.056,35.3
3222369-134,88.3334,16.625,96.3195,31.2
2863418-7,88.889,18.57,96.667,36.2
3011497-33,81.25,17.355,85.5,33.15
827648-6,79.0,19.445,83.0,38.5
710502-3,87.25,16.745,97.125,31.55
2537903-2,85.4445,18.345,89.167,35.65
809647-2,78.9445,19.58,93.0,38.9
1138044-7,74.3889,17.91,89.9445,34.55
1947231-2,84.0,19.32,90.0,38.15
2197380-2,85.6945,17.415,90.4445,33.3
4110256-50,88.0555,19.9625,93.8883,39.8333
1627370-62,76.3889,18.81,90.9445,36.85
827631-5,79.0,18.71,83.0,36.6
487642-3,74.4445,18.385,88.9445,35.75
2020046-2,78.4445,19.975,93.0,39.95
1725274-2,88.5556,17.16,94.1115,32.65
3983531-2,80.5,19.47,86.5,38.65
1003331-2,85.5,17.085,90.25,32.45
691899-59,92.2223,20.46,97.2225,41.15
4182280-2,88.3334,18.43,92.223,35.85
1360806-11,86.5,20.68,96.5,41.7
2469600-2,75.9168,15.775,80.584,29.0
3044813-66,88.264,17.175,91.112,32.7
777818-154,76.0,18.09,81.0,35.0
2291180-2,80.8889,19.385,82.389,38.4
705103-2,88.0001,17.26,93.556,32.9
982746-2,88.2084,16.67,94.9445,31.35
3953461-3,81.3334,20.2,86.389,40.5
1848923-2,89.6112,18.645,95.667,36.4
4247793-2,80.0,18.78,82.0,36.75
1808644-5,92.5495,15.42,98.8195,28.05
1990002-41,87.2614,17.275,91.147,32.95
4252428-4,80.6668,16.815,83.9455,31.7
5262556-2,78.1668,15.95,81.334,29.45
2328965-6,85.3472,17.335,90.278,33.1
881579-2,79.5,19.975,84.0,39.95
529510-5,87.8195,17.135,93.556,32.6
6223148-2,85.7779,18.135,94.0005,35.1
3995347-13,80.3333,17.635,82.889,33.85
567701-2,83.9445,17.415,87.056,33.3
1285-160,88.264,17.375,91.112,33.2
2459184-5,78.3889,18.965,92.5,37.25
4310989-2,86.1529,18.115,95.056,35.05
847892-2,86.5001,17.335,91.1115,33.1
773242-2,87.7779,18.595,91.6675,36.3
4383103-2,81.6113,17.315,89.1675,33.05
198172-5,76.9445,17.495,81.4445,33.5
2214096-16,79.3333,17.275,84.8335,32.95
4560196-2,83.9444,19.96,87.4445,39.9
3963336-2,83.4167,16.88,89.8335,31.95
42376-99,80.9089,17.18,87.274,32.7
565638-2,83.4445,20.295,92.0,40.75
2744977-2,89.1112,20.12,96.2225,40.3
2709404-2,82.389,17.215,88.334,32.8
4532886-2,76.5,18.795,81.5,36.85
7079782-2,84.2223,17.96,94.056,34.65
6470979-4,78.5,19.4,85.5,38.45
