query_id,% Identity,bitscore,% Positives,score
AAA02585.1,76.3395,67.575,92.932,163.45
AAA02587.1,78.6876,69.495,94.735,168.45
AAA02589.1,72.2674,63.225,88.0625,152.15
AAA02593.2,82.6921,71.495,95.3845,173.65
AAA02595.1,78.9743,69.845,94.616,169.35
AAA02596.1,84.8715,72.515,95.384,176.3
AAA02606.2,90.2466,75.42,99.3595,183.8
AAA02608.1,91.9234,78.31,99.872,191.3
AAA02609.1,90.0002,75.685,97.1815,184.5
AAA02611.2,86.8994,70.365,95.0225,170.7
AAA02613.3,84.4502,70.085,94.776,170.0
AAA02614.2,87.1657,70.385,92.17,170.75
AAA02616.1,85.0672,71.33,92.9145,173.2
AAA02618.1,93.0871,73.77,97.7855,179.55
AAA02789.2,97.6924,81.455,100.0,199.5
AAA02791.2,95.5062,78.445,97.433,191.65
AAA02797.2,95.1284,78.395,97.183,191.5
AAA02798.2,97.436,79.56,99.104,194.65
AAA02914.1,89.5345,72.25,95.1575,175.65
AAA03467.1,97.436,80.58,100.0,197.2
AAA03665.1,97.3078,80.8,100.0,197.75
AAA03666.2,98.7044,78.92,99.2315,192.95
AAA03667.1,89.3044,74.4,92.176,181.2
AAA03672.1,87.6133,73.625,92.321,179.15
AAA03673.1,97.1796,78.79,99.744,192.5
AAA03734.1,92.6791,77.06,98.0765,188.1
AAA03735.1,81.7542,65.33,85.8695,157.6
AAA12415.1,94.231,78.53,99.616,191.85
AAA16821.1,86.9227,71.28,91.153,173.1
AAA16822.1,90.5292,74.895,95.269,182.5
AAA16823.1,97.1796,80.58,99.872,197.2
AAA16938.1,90.891,75.865,93.456,185.0
AAA16939.1,90.1183,73.57,93.9675,179.0
AAA16940.1,91.2824,77.04,94.742,188.1
AAA16941.1,93.3234,76.765,95.891,187.3
AAA16942.1,96.154,79.92,99.232,195.55
AAA16943.1,91.7749,75.72,94.7225,184.6
AAA17847.1,97.436,77.88,100.0,190.2
AAA17848.1,94.6055,78.025,97.05,190.6
AAA17849.1,71.38,63.545,88.451,153.0
AAA17850.1,96.7542,78.59,98.4425,192.0
AAA17851.1,97.436,77.58,99.872,189.45
AAA17852.1,93.3336,77.3,97.3105,188.75
AAA17900.1,96.9232,77.48,98.848,189.2
AAA17902.1,92.8174,77.975,97.5625,190.45
AAA17903.1,84.2304,70.92,89.3575,172.15
AAA17904.1,98.5898,80.22,99.872,196.3
AAA17905.1,98.8462,80.18,99.744,196.2
AAA17906.1,96.4776,75.485,97.6565,184.0
AAA17909.1,97.3078,80.98,100.0,198.2
AAA17912.1,96.4641,73.185,97.1205,178.0
AAA17913.1,97.3078,80.5,100.0,197.0
