query_id,% Identity,bitscore,% Positives,score
AAA02754.1,74.6219,177.55,83.9545,450.2
AAA03013.2,71.4295,170.0,80.773,430.55
AAA03339.1,67.6745,164.8,79.45,417.15
AAA10830.1,63.0947,152.1,77.865,384.4
AAA16370.1,67.2166,164.3,78.0045,415.75
AAA16581.1,65.2404,160.2,78.585,405.2
AAA16582.1,64.7113,157.9,78.21,399.5
AAA16583.1,65.4917,162.2,78.332,410.5
AAA16584.1,64.8985,160.0,78.098,404.85
AAA16585.1,63.8501,155.85,76.63,393.75
AAA16586.1,64.3639,156.75,77.043,396.5
AAA16587.1,64.1956,157.4,76.614,398.2
AAA16765.1,68.5272,172.7,82.4185,437.5
AAA16766.1,69.8809,172.55,83.9815,437.25
AAA16767.1,68.8853,165.9,80.1165,420.0
AAA16768.1,68.269,166.1,80.5835,420.5
AAA16769.1,72.2229,178.85,86.0805,453.85
AAA16770.1,66.3233,164.95,80.0365,417.6
AAA16772.1,68.0393,166.0,80.7135,420.15
AAA16775.1,61.8092,157.3,78.6,398.05
AAA16776.1,63.6264,158.65,79.093,401.2
AAA16912.1,62.6154,155.15,77.8525,392.05
AAA16913.1,63.776,154.85,78.14,391.6
AAA16914.1,64.4829,158.0,78.8105,399.65
AAA16915.1,63.0201,155.9,77.426,394.25
AAA17421.1,62.7165,154.2,77.4765,389.95
AAA18223.1,67.7105,162.6,79.873,411.6
AAA18298.1,70.3477,166.05,80.724,420.15
AAA19710.1,66.7473,160.95,81.014,407.35
AAA19712.1,75.7802,167.65,84.6655,424.4
AAA19714.1,61.2471,150.35,77.0,379.7
AAA19717.1,65.2326,165.3,81.173,418.5
AAA19719.1,74.5195,171.95,85.944,435.4
AAA19721.1,64.9239,157.0,80.1385,396.8
AAA19723.1,64.1078,154.2,75.472,389.65
AAA19725.1,64.5003,158.45,79.8765,400.85
AAA20135.1,69.8785,170.25,81.0165,431.25
AAA21365.1,65.0547,154.05,79.335,389.7
AAA21368.1,64.602,159.65,80.8465,403.8
AAA21370.1,62.3589,157.2,79.6005,397.45
AAA21372.1,67.3139,165.55,79.0175,419.25
AAA21374.1,77.9048,188.9,87.855,479.55
AAA21376.1,66.7171,168.35,80.8835,426.3
AAA21378.1,69.9998,179.35,83.155,454.9
AAA37321.1,71.0009,171.5,81.2915,434.3
AAA37773.1,69.9867,173.65,82.178,440.35
AAA37774.1,69.3538,172.85,83.2755,438.0
AAA37775.1,70.3326,171.25,82.175,433.55
AAA37776.1,70.5572,173.3,82.9935,438.95
AAA37899.1,71.9689,185.15,83.12,470.05
AAA37901.1,69.407,167.3,80.6905,423.4
AAA37902.1,68.4406,164.85,79.939,417.45
AAA37927.1,70.4694,169.6,80.752,429.65
AAA37928.1,69.8298,172.35,79.067,436.7
AAA37929.1,78.0967,187.45,85.579,476.15
AAA37930.1,67.8951,161.8,77.882,409.25
AAA37931.1,72.435,179.45,83.292,455.55
AAA37932.1,76.4656,179.5,84.3965,455.15
AAA37933.1,74.4299,177.7,84.298,450.6
AAA37934.1,61.6964,149.4,75.448,377.35
AAA37935.1,72.7125,181.5,83.75,460.8
AAA37938.1,66.2387,164.2,79.47,415.8
AAA37939.1,70.433,169.25,80.6085,428.75
AAA37941.1,71.7552,168.8,81.657,427.65
AAA37943.1,62.6621,164.65,79.3555,416.4
AAA37945.1,69.7952,172.4,80.6565,436.7
AAA37946.1,79.5528,184.4,87.145,468.1
AAA37948.1,69.1557,172.25,80.869,436.65
AAA37949.1,71.9204,163.7,81.8085,414.2
AAA37950.1,62.5001,149.8,76.1925,378.0
AAA37954.1,64.8973,161.35,76.8545,408.45
AAA37955.1,63.766,155.6,79.2775,393.15
AAA37956.1,70.2655,169.3,80.779,428.95
AAA37957.1,66.9896,166.9,80.145,422.8
AAA37958.1,67.8118,166.75,80.5175,422.3
AAA37959.1,67.0639,164.65,78.511,416.8
AAA37960.1,69.8514,169.05,80.7885,427.85
AAA37961.1,68.0439,164.25,79.5785,416.1
AAA37962.1,68.2302,167.65,79.6195,424.65
AAA37963.1,69.4156,167.85,80.189,424.85
AAA37964.1,66.1119,163.85,78.9635,414.5
AAA37965.1,69.0593,168.85,79.786,427.55
AAA37966.1,70.6736,171.1,80.7095,433.45
AAA37967.1,68.3882,166.05,80.5285,420.5
AAA37968.1,69.6311,167.85,80.9015,425.2
AAA37972.1,62.247,157.3,78.469,398.1
AAA37973.1,67.049,164.2,80.433,415.8
AAA37992.1,66.3526,162.9,80.5095,412.6
AAA37994.1,64.4806,159.45,76.173,403.2
AAA37995.1,64.1627,159.6,76.2025,403.65
AAA37996.1,73.6593,187.5,84.083,475.65
AAA37997.1,73.3502,186.0,84.937,471.85
